DOC # (INDEX),APPLICATION,COUNTRY/ORG,INSTITUTION,DATE ,DOCUMENT,
06_01a,Single-Jurisdiction,US,NYDFS,Jun-21,NYDFS Industry Letter: Guidance on Ransomware Prevention,
06_02a,Multi-Jurisdiction,BIS,FSI,May-21,FSI Executive Summary Series - Cyber resilience practices,
06_03a,Single-Jurisdiction,UK,UK National Cyber Security Centre,May-21,UK NCSC 10 Steps Guidance to Cyber Security,
06_04a,Multi-Jurisdiction,IMF,IMF,Apr-21,"IMF WP Central Bank Risk Management, Fintech, and Cybersecurity",
06_05a,Multi-Jurisdiction,BCBS,BCBS,Mar-21,BCBS Principles for operational resilience,
06_06a,Multi-Jurisdiction,BCBS,BCBS,Mar-21,BCBS Principles for the sound management of operational risk,
06_07a,Multi-Jurisdiction,IMF,IMF,Mar-21,IMF F&D Maurer Nelson - The Cyber Global Threat,
06_08a,Multi-Jurisdiction,ISO/IEC,ISO/IEC,Feb-21,"ISO/IEC TS 27100, Information technology – Cybersecurity – Overview and concepts",
06_08b,Multi-Jurisdiction,ISO/IEC,ISO/IEC,Feb-21,"ISO/IEC TS 27110, Information technology, cybersecurity and privacy protection – Cybersecurity framework development guidelines",
06_09a,Single-Jurisdiction,US,NYDFS,Feb-21,NYDFS Cyber Insurance Risk Framework,
06_10a,Multi-Jurisdiction,BIS,BIS,Jan-21,BIS Covid-19 and cyber risk in the financial sector,
06_11a,Multi-Jurisdiction,OAS,OAS,2020,OAS Cybersecurity Education - Planning for the Future Through Workforce Development,
06_12a,Multi-Jurisdiction,IAIS,IAIS,Dec-20,IAIS Cyber Risk Underwriting Identified Challenges and Supervisory Considerations for Sustainable Market Development,
06_13a,Multi-Jurisdictions,CEIP,CEIP,Dec-20,CEIP Capacity-Building Tool Box for Cybersecurity and Financial Organizations ,
06_13b,Multi-Jurisdictions,CEIP,CEIP,Dec-20,CEIP Capacity-Building Tool Box for Cybersecurity and Financial Organizations Supplementary Report,
06_14a,Single-Jurisdiction,US,FinCEN,Dec-20,FinCEN Notice to Financial Institutions Stay Alert to COVID-19 Vaccine-Related Scams and Cyberattacks,
06_14b,Single-Jurisdiction,US,FinCEN,Oct-20,FinCEN Advisory on Ransomware and the Use of the Financial System to Facilitate Ransom Payments,
06_14c,Single-Jurisdiction,US,FinCEN,Jul-20,FinCEN Advisory on Cybercrime and Cyber-Enabled Crime Exploiting the Coronavirus Disease 2019 (COVID-19) Pandemic,
06_14d,Single-Jurisdiction,US,FinCEN,May-20,FinCEN Advisory on Medical Scams Related to the Coronavirus Disease 2019 (COVID-19),
06_15a,European Union ,EU,EC,Dec-20,EC Joint Comm to European Parliament and the Council:  The EU's Cybersecurity Strategy for the Digital Decade,
